# Configuracion:
# Concentracion g/m^3_=_8100.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_264106.7903978708
# 
Resultados:
# tau_s_=_(2.06+/-0.05)e-08
# dphi_rad_=_6.32+/-0.00
# SAR_W/g_=_167.84+/-4.37
# Hc_kA/m_=_3.07+/-0.04
# Mr_A/m_=_47.20+/-0.89
# Suceptibilidad_a_M=0_=_0.0156+/-0.0003

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
265kHz_150dA_100Mss_Ni0sRC005.txt	23/05/2024 15:05:27	19.7	45.73	3.07	57041.50	612.18	2.640845e+05	9.881042e+00	6.317579e+00	168.29	2.073511e-08	4544	1.517e-02
265kHz_150dA_100Mss_Ni0sRC006.txt	23/05/2024 15:05:29	19.8	46.21	3.06	57041.50	610.27	2.641426e+05	9.884123e+00	6.318232e+00	171.58	2.112902e-08	4543	1.524e-02
265kHz_150dA_100Mss_Ni0sRC007.txt	23/05/2024 15:05:30	19.8	46.21	3.06	57041.50	610.37	2.640845e+05	9.860390e+00	6.317109e+00	165.64	2.045126e-08	4544	1.531e-02
265kHz_150dA_100Mss_Ni0sRC008.txt	23/05/2024 15:05:31	19.8	46.06	3.05	57041.50	610.69	2.640845e+05	9.876836e+00	6.317371e+00	167.20	2.060942e-08	4544	1.548e-02
265kHz_150dA_100Mss_Ni0sRC009.txt	23/05/2024 15:05:32	19.8	46.82	3.06	57041.50	617.30	2.640845e+05	1.000118e+01	6.317745e+00	171.16	2.083545e-08	4544	1.558e-02
265kHz_150dA_100Mss_Ni0sRC010.txt	23/05/2024 15:05:33	19.8	46.53	3.08	57041.50	608.16	2.640845e+05	9.856263e+00	6.317903e+00	169.45	2.093034e-08	4544	1.542e-02
265kHz_150dA_100Mss_Ni0sRC011.txt	23/05/2024 15:05:34	19.8	46.40	3.05	57041.50	605.37	2.640845e+05	9.813934e+00	6.316249e+00	160.69	1.993262e-08	4544	1.541e-02
265kHz_150dA_100Mss_Ni0sRC012.txt	23/05/2024 15:05:35	19.8	47.10	3.15	57041.50	600.09	2.641426e+05	9.761214e+00	6.317968e+00	168.16	2.096947e-08	4543	1.523e-02
265kHz_150dA_100Mss_Ni0sRC013.txt	23/05/2024 15:05:36	19.8	46.88	3.08	57041.50	608.66	2.640845e+05	9.878139e+00	6.318383e+00	172.17	2.121991e-08	4544	1.558e-02
265kHz_150dA_100Mss_Ni0sRC014.txt	23/05/2024 15:05:37	19.9	46.08	3.00	57041.50	611.92	2.640845e+05	9.924095e+00	6.316288e+00	162.68	1.995604e-08	4544	1.559e-02
265kHz_150dA_100Mss_Ni0sRC015.txt	23/05/2024 15:05:38	19.8	47.68	3.12	57041.50	606.40	2.641426e+05	9.884529e+00	6.316802e+00	164.59	2.026645e-08	4543	1.548e-02
265kHz_150dA_100Mss_Ni0sRC016.txt	23/05/2024 15:05:39	19.8	47.19	3.09	57041.50	615.44	2.640845e+05	9.962082e+00	6.318267e+00	173.06	2.115018e-08	4544	1.555e-02
265kHz_150dA_100Mss_Ni0sRC017.txt	23/05/2024 15:05:40	19.9	48.53	3.18	57041.50	609.46	2.640845e+05	9.902447e+00	6.318816e+00	174.72	2.148121e-08	4544	1.554e-02
265kHz_150dA_100Mss_Ni0sRC018.txt	23/05/2024 15:05:41	19.9	47.74	3.10	57041.50	610.70	2.640845e+05	9.901008e+00	6.317758e+00	169.51	2.084297e-08	4544	1.566e-02
265kHz_150dA_100Mss_Ni0sRC019.txt	23/05/2024 15:05:44	19.9	46.95	3.02	57041.50	613.49	2.641426e+05	9.958296e+00	6.317331e+00	168.42	2.058544e-08	4543	1.581e-02
